player_name,college_team,college_conference,college_start_year,college_end_year,college_pass_attempts,college_pass_completions,college_pass_yards,college_pass_tds,college_interceptions,college_completion_pct,college_td_int_ratio,college_yards_per_attempt,Unnamed: 0,Age,nfl_games,GS,nfl_pass_completions,nfl_pass_attempts,Cmp%,nfl_pass_yards,nfl_pass_tds,TD%,nfl_interceptions,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,nfl_qb_rating,Sk,Yds-s,Sk%,NY/A,ANY/A,nfl_year,nfl_completion_percentage,nfl_td_int_ratio,nfl_yards_per_attempt
Aidan O'Connell,Purdue,Big Ten,2019,2022,1189,798,8674,60,27,66.25114395194744,2.516826923076923,7.125,1499.5,25.0,22,10.0,426,686,62.1,4436,24,3.5,14,2.0,107.0,50.0,6.5,6.2,10.4,201.6,83.9,24.0,173.0,6.5,5.57,5.37,2015.0,62.09912536443149,1.7142857142857142,6.466472303206997
Andrew Luck,Stanford,Pac-12,2009,2011,1010,668,8796,76,20,65.47458780480936,3.7129629629629632,8.700000000000001,1433.6666666666667,25.666666666666668,86,14.333333333333334,2000,3290,60.35,23671,171,5.183333333333334,83,2.65,194.33333333333334,73.66666666666667,7.133333333333333,6.983333333333333,11.85,274.73333333333335,88.33333333333333,29.0,187.33333333333334,5.033333333333333,6.448333333333333,6.305,2014.6666666666667,60.790273556231,2.0602409638554215,7.19483282674772
Andy Dalton,TCU,Mountain West,2007,2010,1185,729,9377,69,25,61.586251607525995,3.1208333333333336,7.975,1612.0,30.428571428571427,172,11.714285714285714,3442,5512,62.17857142857143,38872,248,4.378571428571428,144,2.307142857142857,134.0,67.92857142857143,6.928571428571429,6.771428571428571,11.15,212.66428571428574,87.77142857142857,25.071428571428573,164.85714285714286,5.857142857142857,6.122857142857143,5.967142857142858,2016.2857142857142,62.445573294629895,1.7222222222222223,7.052249637155297
Anthony Brown,Oregon,Pac-12,2017,2021,1030,596,7421,55,26,57.553738573219675,2.611111111111111,7.375,2237.0,24.0,2,1.0,22,49,44.9,302,0,0.0,2,4.1,13.0,47.0,6.2,4.3,13.7,151.0,48.2,5.0,14.0,9.3,5.33,3.67,2022.0,44.89795918367347,0.0,6.163265306122449
Anthony Richardson,Florida,SEC,2021,2022,391,214,3078,23,14,56.59881498470948,1.5444444444444443,8.05,1521.5,21.0,8,4.0,100,168,59.5,1154,6,3.6,2,1.2,31.0,39.0,6.9,7.0,11.5,144.3,87.3,7.0,29.0,7.7,6.02,6.19,2015.0,59.523809523809526,3.0,6.869047619047619
Austin Davis,Southern Miss,Conference USA,2008,2011,1420,876,10246,77,27,62.88340134819285,3.2926136363636362,7.275,1442.5,25.5,13,5.0,236,378,61.5,2548,13,2.6500000000000004,12,3.2,65.5,50.5,6.4,5.55,10.45,191.2,75.65,20.0,137.5,9.9,5.0600000000000005,4.245,2014.5,62.43386243386243,1.0833333333333333,6.7407407407407405
B.J. Daniels,South Florida,Big East,2009,2012,1077,610,7944,48,38,56.189114902805976,1.3351190476190475,7.45,1531.0,27.0,8,0.0,1,2,50.0,7,0,0.0,0,0.0,0.0,7.0,3.5,3.5,7.0,0.9,58.3,0.0,0.0,0.0,3.5,3.5,2015.0,50.0,0.0,3.5
Bailey Zappe,Western Kentucky,Conference USA,2018,2021,858,575,7224,70,13,61.96415750695274,6.363636363636363,7.266666666666666,1746.6666666666667,23.666666666666668,24,4.666666666666667,319,516,63.5,3325,17,3.6666666666666665,21,3.9,47.666666666666664,49.666666666666664,6.833333333333333,5.833333333333333,10.666666666666666,149.9,79.43333333333334,18.666666666666668,140.66666666666666,9.033333333333333,5.56,4.64,2017.3333333333333,61.82170542635659,0.8095238095238095,6.4437984496124034
Baker Mayfield,Oklahoma,Big 12,2013,2017,1393,958,13713,126,27,68.7441365236638,5.320833333333333,9.825,1833.4285714285713,25.857142857142858,106,14.714285714285714,2114,3391,62.15714285714286,24376,158,4.557142857142857,84,2.5,164.42857142857142,75.85714285714286,7.1571428571428575,6.942857142857143,11.528571428571428,228.44285714285712,88.52857142857144,35.714285714285715,224.28571428571428,7.028571428571429,6.22,6.025714285714286,2018.5714285714287,62.34149218519611,1.880952380952381,7.1884399882040695
Ben Dinucci,Pittsburgh,ACC,2017,2017,158,88,1091,5,5,55.69620253164557,1.0,6.9,2005.0,24.0,3,1.0,23,43,53.5,219,0,0.0,0,0.0,11.0,32.0,5.1,5.1,9.5,73.0,67.9,7.0,73.0,14.0,2.92,2.92,2020.0,53.48837209302325,0.0,5.093023255813954
Blaine Gabbert,Missouri,Big 12,2009,2010,832,507,6054,38,14,60.93139634329566,2.7142857142857144,7.3,1619.3076923076924,28.307692307692307,71,3.8461538461538463,900,1603,56.5,9672,51,4.6692307692307695,53,3.3846153846153846,35.15384615384615,47.61538461538461,5.938461538461539,5.346153846153846,10.707692307692307,113.5923076923077,74.47692307692309,10.923076923076923,73.15384615384616,6.092307692307693,5.127692307692308,4.608461538461539,2016.076923076923,56.1447286338116,0.9622641509433962,6.033686837180287
Blake Bortles,UCF,American Athletic,2011,2013,827,543,7025,50,17,66.28043076130507,2.7619047619047614,8.533333333333333,1623.1666666666667,24.5,78,12.166666666666666,1562,2634,57.81666666666666,17649,103,3.1666666666666665,75,2.4,147.33333333333334,60.333333333333336,5.8,5.383333333333333,9.9,194.85,76.2,32.5,193.0,5.816666666666666,5.1000000000000005,4.693333333333333,2016.5,59.301442672741075,1.3733333333333333,6.7004555808656034
Brandon Allen,Arkansas,SEC,2013,2015,918,530,6802,60,22,57.019265364864424,3.0142857142857142,7.266666666666667,2066.25,28.5,15,2.25,149,263,64.95,1611,10,3.25,6,1.2999999999999998,17.0,46.5,6.075,6.175,9.9,100.875,82.275,5.25,35.75,12.475,4.83,4.88,2020.5,56.65399239543726,1.6666666666666667,6.1254752851711025
Brandon Weeden,Oklahoma State,Big 12,2010,2011,992,696,8365,66,25,70.02608624765631,2.647435897435898,8.45,1349.0,30.5,34,6.25,559,965,59.5,6462,31,4.25,30,3.25,66.5,69.0,6.975,6.35,11.775,169.125,81.35,16.5,113.0,5.85,6.1475,5.5725,2013.5,57.92746113989637,1.0333333333333334,6.696373056994819
Brett Hundley,UCLA,Pac-12,2012,2014,1139,784,9280,69,25,68.8383534636395,3.002693602693603,8.166666666666666,1730.0,24.333333333333332,18,3.0,199,337,42.1,1902,9,0.9333333333333332,13,4.6000000000000005,30.666666666666668,30.666666666666668,4.0,2.1333333333333333,9.299999999999999,62.50000000000001,43.03333333333333,10.333333333333334,69.33333333333333,7.933333333333334,3.1233333333333335,1.2766666666666666,2017.3333333333333,59.05044510385756,0.6923076923076923,5.643916913946588
Brett Rypien,Boise State,Mountain West,2015,2018,1490,954,12537,84,24,63.81446936051696,3.511904761904762,8.425,1896.0,25.8,12,1.0,116,206,44.5,1122,4,1.46,10,3.94,10.4,32.2,4.38,2.88,7.840000000000001,78.22,53.7,2.6,16.6,4.140000000000001,3.8880000000000003,2.464,2018.6,56.310679611650485,0.4,5.446601941747573
Brock Osweiler,Arizona State,Pac-12,2009,2011,633,382,4687,31,14,54.54336799263542,2.6666666666666665,6.533333333333334,1500.7142857142858,25.0,49,4.285714285714286,697,1165,56.98571428571428,7418,37,3.257142857142857,31,1.4857142857142858,52.142857142857146,45.42857142857143,5.771428571428571,5.757142857142857,10.185714285714285,120.22857142857143,78.25714285714285,11.285714285714286,79.85714285714286,5.428571428571429,5.085714285714286,5.0842857142857145,2015.0,59.828326180257505,1.1935483870967742,6.367381974248927
Brock Purdy,Iowa State,Big 12,2018,2021,1341,915,11273,79,30,68.06959215520943,2.692857142857143,8.55,1722.6666666666667,23.666666666666668,41,12.333333333333334,730,1058,68.63333333333334,9934,75,7.2,26,2.466666666666667,150.0,68.66666666666667,9.1,9.466666666666667,13.299999999999999,229.23333333333335,111.10000000000001,22.333333333333332,130.0,5.966666666666666,8.203333333333333,8.53,2017.3333333333333,68.99810964083176,2.8846153846153846,9.389413988657845
Bryce Perkins,Virginia,ACC,2018,2019,774,495,5687,40,20,63.93578285335981,2.0404040404040407,7.449999999999999,2248.0,26.0,5,1.0,19,34,55.9,161,1,2.9,2,5.9,10.0,20.0,4.7,2.7,8.5,32.2,53.7,6.0,50.0,15.0,2.78,1.03,2022.0,55.88235294117647,0.5,4.735294117647059
Bryce Petty,Baylor,Big 12,2013,2014,733,454,7149,56,8,61.93335916311507,9.666666666666666,9.8,1632.0,25.5,10,3.5,130,245,52.75,1353,4,1.5999999999999999,10,4.0,30.0,49.0,5.5,4.0,10.350000000000001,135.4,57.55,10.5,67.0,7.800000000000001,4.54,3.185,2016.5,53.06122448979592,0.4,5.522448979591837
Bryce Young,Alabama,SEC,2021,2022,821,544,7329,70,9,66.016110166528,8.075,8.9,1492.5,22.0,32,16.0,630,1054,59.8,5754,22,2.1,20,1.9,133.0,48.0,5.5,5.0,9.1,179.8,73.7,62.0,477.0,10.5,4.07,3.68,2015.0,59.772296015180274,1.1,5.459203036053131
C.J. Beathard,Iowa,Big Ten,2014,2016,676,404,4944,35,12,58.85100298246932,3.0595238095238098,7.233333333333333,1840.5714285714287,27.571428571428573,39,2.0,380,616,70.48571428571428,4235,20,2.3000000000000003,14,2.2714285714285714,30.0,49.857142857142854,7.757142857142857,7.185714285714285,10.671428571428573,95.61428571428571,86.18571428571428,8.428571428571429,61.0,7.728571428571428,6.774285714285715,6.257142857142857,2018.2857142857142,61.68831168831169,1.4285714285714286,6.875
C.J. Stroud,Ohio State,Big Ten,2021,2022,750,515,7202,75,11,68.54162952397931,6.883333333333333,9.600000000000001,1480.5,22.0,30,15.0,638,998,63.9,8216,46,4.6,10,1.0,188.0,75.0,8.2,8.7,12.9,273.9,100.8,38.0,331.0,7.1,7.03,7.47,2015.0,63.92785571142284,4.6,8.23246492985972
Cardale Jones,Ohio State,Big Ten,2015,2015,176,110,1460,8,5,62.5,1.6,8.3,1600.0,24.0,1,0.0,6,11,54.5,96,0,0.0,1,9.1,2.0,64.0,8.7,4.6,16.0,96.0,46.0,1.0,2.0,8.3,7.83,4.08,2016.0,54.54545454545454,0.0,8.727272727272727
Case Keenum,Houston,Conference USA,2007,2011,2048,1432,17876,149,39,69.11956312149596,4.075555555555555,8.9,1708.4166666666667,30.416666666666668,82,5.666666666666667,1426,2286,58.44166666666666,15466,80,2.6999999999999997,54,2.341666666666667,61.583333333333336,47.416666666666664,5.833333333333333,5.325,9.758333333333333,152.49166666666667,75.10833333333333,11.416666666666666,87.41666666666667,5.258333333333333,5.0825000000000005,4.618333333333333,2017.0833333333333,62.37970253718286,1.4814814814814814,6.7655293088363955
Christian Ponder,Florida State,ACC,2008,2010,911,569,6562,46,28,62.14449120372465,1.8076923076923077,7.133333333333333,1257.0,24.5,38,9.0,632,1057,57.5,6658,38,2.775,36,3.825,88.5,50.5,6.1,4.95,10.6,161.5,68.75,23.75,125.25,9.425,5.0275,3.9875,2012.5,59.7918637653737,1.0555555555555556,6.298959318826869
Clayton Tune,Houston,American Athletic,2018,2022,1361,871,11038,96,37,60.10676802314816,2.678095238095238,7.88,1546.5,24.0,14,1.0,24,42,57.1,124,0,0.0,4,9.5,3.0,14.0,3.0,-1.3,5.2,8.9,22.6,7.0,41.0,25.0,0.75,-2.46,2015.0,57.14285714285714,0.0,2.9523809523809526
Cody Kessler,USC,Pac-12,2013,2015,1158,786,9443,80,16,67.66253246471071,5.444444444444444,8.133333333333333,1683.3333333333333,24.0,17,4.0,224,349,59.43333333333334,2215,8,1.5333333333333332,5,2.2666666666666666,36.666666666666664,36.666666666666664,6.0,5.233333333333333,10.200000000000001,112.36666666666667,72.10000000000001,16.333333333333332,112.33333333333333,14.933333333333332,4.03,3.4499999999999997,2017.0,64.18338108882521,1.6,6.346704871060172
Colin Kaepernick,Nevada,Western Athletic,2007,2010,1109,656,8970,75,20,58.86330640849371,4.030952380952381,8.175,1346.8333333333333,26.5,69,9.666666666666666,1011,1692,59.916666666666664,12271,72,3.483333333333333,30,1.4333333333333333,95.66666666666667,60.166666666666664,7.233333333333333,7.283333333333334,12.083333333333334,154.63333333333333,87.78333333333335,28.5,176.66666666666666,7.550000000000001,6.228333333333333,6.273333333333333,2013.5,59.75177304964539,2.4,7.252364066193853
Colt Mccoy,Texas,Big 12,2006,2009,1514,1067,12348,107,44,70.42583816681241,2.9613095238095237,8.2,1599.909090909091,29.90909090909091,55,3.272727272727273,764,1220,67.16363636363637,7975,34,3.1545454545454548,32,2.0818181818181816,35.18181818181818,44.09090909090909,7.363636363636363,7.054545454545454,10.863636363636363,121.77272727272727,88.71818181818182,10.272727272727273,63.72727272727273,9.527272727272727,6.088181818181818,5.819090909090909,2015.909090909091,62.62295081967213,1.0625,6.536885245901639
Connor Cook,Michigan State,Big Ten,2013,2015,1036,599,8244,66,16,57.84837867638522,4.155555555555556,7.966666666666666,1595.0,23.0,1,0.0,14,21,66.7,150,1,4.8,1,4.8,6.0,32.0,7.1,6.0,10.7,150.0,83.4,2.0,7.0,8.7,6.22,5.13,2016.0,66.66666666666666,1.0,7.142857142857143
Connor Shaw,South Carolina,SEC,2011,2013,632,406,5085,48,14,64.60922323350671,8.380952380952381,7.966666666666666,1407.0,23.0,1,1.0,14,28,50.0,177,0,0.0,1,3.6,10.0,49.0,6.3,4.7,12.6,177.0,55.2,4.0,27.0,12.5,4.69,3.28,2014.0,50.0,0.0,6.321428571428571
Cooper Rush,Central Michigan,Mid-American,2013,2016,1525,955,12015,83,50,62.19014854162739,1.733974358974359,7.85,1827.0,28.2,30,1.2,161,260,61.02,1763,8,1.9,6,2.48,16.8,35.8,5.64,4.9,8.66,48.68,74.38,2.4,16.8,3.62,5.108,4.406000000000001,2018.0,61.92307692307693,1.3333333333333333,6.780769230769231
Dak Prescott,Mississippi State,SEC,2013,2015,1019,641,8066,56,21,62.071655943297536,3.216666666666667,7.8,1779.2222222222222,26.88888888888889,131,14.555555555555555,3005,4463,67.27777777777777,33975,238,5.222222222222222,83,1.911111111111111,185.11111111111111,75.22222222222223,7.666666666666667,7.833333333333333,11.366666666666667,267.22222222222223,99.42222222222222,30.444444444444443,185.77777777777777,5.655555555555555,6.865555555555556,7.04,2018.111111111111,67.33139144073493,2.8674698795180724,7.612592426618866
Daniel Jones,Duke,ACC,2016,2018,1179,700,7485,44,27,59.34597519649592,1.7287157287157287,6.333333333333333,1858.1666666666667,24.333333333333332,66,10.833333333333334,1329,2060,65.14999999999999,13421,64,2.716666666666667,46,2.566666666666667,109.16666666666667,60.5,6.3500000000000005,5.716666666666666,9.766666666666667,194.5,81.06666666666666,34.833333333333336,219.66666666666666,10.416666666666666,5.0616666666666665,4.531666666666666,2018.6666666666667,64.51456310679612,1.391304347826087,6.51504854368932
David Blough,Purdue,Big Ten,2015,2018,1393,849,9550,69,41,61.54634399938466,1.9538690476190477,6.800000000000001,2045.0,25.333333333333332,8,2.3333333333333335,138,242,59.833333333333336,1435,6,1.8999999999999997,9,5.6000000000000005,22.0,57.333333333333336,5.833333333333333,3.6999999999999997,9.766666666666666,148.93333333333334,59.86666666666667,6.666666666666667,46.0,8.133333333333333,4.743333333333333,2.776666666666667,2020.3333333333333,57.02479338842975,0.6666666666666666,5.929752066115703
